City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
251,Bilma,18.6853,12.9164,clear sky,77.67,9,0,7.38,NE
252,Puerto Ayacucho,5.6639,-67.6236,overcast clouds,78.91,88,100,7.99,VE
253,Jalu,29.0331,21.5482,clear sky,72.59,10,0,11.45,LY
254,Aguimes,27.9054,-15.4461,few clouds,66.2,59,20,10.36,ES
255,Cuiluan,47.72,128.648,overcast clouds,31.82,50,92,4.81,CN
256,Maku,39.2911,44.4521,clear sky,44.58,70,10,7.61,IR
257,Abonnema,4.7084,6.7931,overcast clouds,81.37,79,100,9.24,NG
258,Seoul,37.5683,126.9778,clear sky,41.0,81,0,2.3,KR
259,Cabo San Lucas,22.8909,-109.9124,clear sky,93.2,19,1,20.71,MX
260,Acaponeta,22.4964,-105.3594,clear sky,97.56,19,4,13.56,MX
261,Kruisfontein,-34.0033,24.7314,overcast clouds,66.0,79,98,1.01,ZA
262,Logansport,40.7545,-86.3567,clear sky,71.6,28,1,7.99,US
263,Eyl,7.9803,49.8164,few clouds,80.28,75,12,6.29,SO
264,Asau,46.4333,26.4,light snow,33.01,62,59,3.98,RO
265,Baghdad,33.3406,44.4009,clear sky,62.6,42,0,3.44,IQ
266,Ust-Kut,56.7938,105.7672,overcast clouds,21.67,98,100,0.81,RU
267,Xining,36.6167,101.7667,clear sky,33.76,62,0,2.06,CN
268,Gijon,43.5357,-5.6615,few clouds,50.0,81,20,8.05,ES
269,Santa Maria,-29.6842,-53.8069,few clouds,84.2,54,20,10.36,BR
270,Poya,-21.35,165.15,broken clouds,76.44,69,63,6.49,NC
271,Albacete,38.8333,-2.0,few clouds,51.8,82,20,5.75,ES
272,Richland,40.7834,-82.5499,clear sky,69.8,24,1,10.36,US
273,Umea,63.8284,20.2597,scattered clouds,35.01,93,40,4.61,SE
274,Alice Springs,-23.7,133.8833,clear sky,55.4,76,0,5.75,AU
275,Cesme,38.3228,26.3064,light rain,62.6,82,20,11.5,TR
276,Ostrovnoy,68.0531,39.5131,overcast clouds,32.22,90,100,16.8,RU
277,Tuxpan,19.55,-103.4,scattered clouds,86.0,37,40,11.5,MX
278,Ewa Beach,21.3156,-158.0072,scattered clouds,75.2,64,40,11.5,US
279,Sorland,67.667,12.6934,light snow,30.2,86,75,2.3,NO
280,Cockburn Town,21.4612,-71.1419,broken clouds,77.0,57,75,17.27,TC
281,Tuburan,6.6439,122.2736,broken clouds,81.25,75,81,1.57,PH
282,Liepaja,56.5419,21.0367,light intensity drizzle,39.2,93,90,21.85,LV
283,Camapua,-19.5314,-54.0439,broken clouds,88.43,32,71,6.64,BR
284,Verkhnetulomskiy,68.6073,31.7962,broken clouds,33.8,86,75,8.95,RU
285,Biak,-0.9131,122.8766,light rain,77.22,82,100,4.36,ID
286,Vanimo,-2.6741,141.3028,overcast clouds,77.92,89,95,9.13,PG
287,Agadez,19.75,10.25,overcast clouds,75.56,10,99,5.26,NE
288,Cayhagan,9.6697,122.4256,broken clouds,77.59,77,83,6.31,PH
289,Leh,34.1667,77.5833,overcast clouds,34.79,82,99,5.64,IN
290,Jiazi,22.8779,116.067,overcast clouds,66.76,85,100,18.1,CN
291,Orlik,52.5178,99.825,scattered clouds,7.81,94,36,2.3,RU
